Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	41	34
OG0000001	44	44
OG0000002	38	38
OG0000003	30	30
OG0000004	9	8
OG0000005	12	12
OG0000006	24	24
OG0000007	14	13
OG0000008	14	14
OG0000009	22	22
OG0000010	11	10
OG0000011	20	20
OG0000012	11	11
OG0000013	20	20
OG0000014	8	7
OG0000015	9	9
OG0000016	6	6
OG0000017	15	14
OG0000018	7	6
OG0000019	8	6
OG0000020	7	7
OG0000021	9	8
OG0000022	6	6
OG0000023	6	6
OG0000024	9	9
OG0000025	7	7
OG0000026	9	8
OG0000027	9	9
OG0000028	7	6
OG0000029	7	6
OG0000030	8	8
OG0000031	7	7
OG0000032	14	14
OG0000033	6	6
OG0000034	9	9
OG0000035	7	6
OG0000036	7	7
OG0000037	7	7
OG0000038	5	5
OG0000039	10	9
OG0000040	6	6
OG0000041	8	8
OG0000042	5	5
OG0000043	6	5
OG0000044	9	8
OG0000045	12	12
OG0000046	10	10
OG0000047	7	7
OG0000048	15	15
OG0000049	15	15
OG0000050	6	6
OG0000051	4	4
OG0000052	4	4
OG0000053	6	6
OG0000054	4	4
OG0000055	5	5
OG0000056	5	5
OG0000057	5	5
OG0000058	14	14
OG0000059	14	14
OG0000060	14	14
OG0000061	3	3
OG0000062	2	2
OG0000063	4	4
OG0000064	4	4
OG0000065	6	6
OG0000066	4	4
OG0000067	12	12
OG0000068	4	3
OG0000069	8	8
OG0000070	6	5
OG0000071	3	3
OG0000072	5	5
OG0000073	3	3
OG0000074	13	13
OG0000075	2	2
OG0000076	4	3
OG0000077	3	3
OG0000078	3	3
OG0000079	6	6
OG0000080	4	4
OG0000081	3	3
OG0000082	4	4
OG0000083	6	6
OG0000084	7	7
OG0000085	8	8
OG0000086	10	10
OG0000087	11	11
OG0000088	3	3
OG0000089	7	7
OG0000090	5	5
OG0000091	4	3
OG0000092	8	8
OG0000093	4	4
OG0000094	2	1
OG0000095	2	2
OG0000096	4	3
OG0000097	1	1
OG0000098	3	3
OG0000099	4	4
OG0000100	8	8
OG0000101	3	3
OG0000102	3	3
OG0000103	4	4
OG0000104	3	2
OG0000105	5	5
OG0000106	5	5
OG0000107	3	3
OG0000108	4	4
OG0000109	8	8
OG0000110	11	11
OG0000111	11	11
OG0000112	6	6
OG0000113	3	3
OG0000114	5	5
OG0000115	2	2
OG0000116	5	5
OG0000117	1	1
OG0000118	1	1
OG0000119	3	3
OG0000120	3	1
OG0000121	3	3
OG0000122	2	2
OG0000123	2	2
OG0000124	3	3
OG0000125	9	9
OG0000126	5	5
OG0000127	8	8
OG0000128	5	5
OG0000129	3	3
OG0000130	4	4
OG0000131	9	9
OG0000132	4	4
OG0000133	7	7
OG0000134	2	2
OG0000135	4	4
OG0000136	6	6
OG0000137	4	4
OG0000138	7	6
OG0000139	10	10
OG0000140	10	10
OG0000141	6	6
OG0000142	3	3
OG0000143	2	2
OG0000144	2	1
OG0000145	3	3
OG0000146	2	2
OG0000147	4	4
OG0000148	5	5
OG0000149	2	2
OG0000150	3	3
OG0000151	3	3
OG0000152	3	3
OG0000153	2	2
OG0000154	2	2
OG0000155	4	4
OG0000156	3	3
OG0000157	4	4
OG0000158	1	1
OG0000159	3	3
OG0000160	6	6
OG0000161	6	6
OG0000162	4	4
OG0000163	3	3
OG0000164	2	2
OG0000165	2	2
OG0000166	4	4
OG0000167	5	5
OG0000168	8	8
OG0000169	3	3
OG0000170	6	6
OG0000171	4	4
OG0000172	4	4
OG0000173	4	4
OG0000174	7	7
OG0000175	3	3
OG0000176	5	5
OG0000177	3	3
OG0000178	9	9
OG0000179	9	9
OG0000180	9	9
OG0000181	9	9
OG0000182	9	9
OG0000183	3	3
OG0000184	3	2
OG0000185	1	1
OG0000186	1	1
OG0000187	2	2
OG0000188	2	2
OG0000189	1	1
OG0000190	1	1
OG0000191	3	3
OG0000192	3	3
OG0000193	1	1
OG0000194	1	1
OG0000195	3	3
OG0000196	3	3
OG0000197	2	2
OG0000198	1	1
OG0000199	1	1
OG0000200	4	4
OG0000201	1	1
OG0000202	3	3
OG0000203	4	4
OG0000204	6	6
OG0000205	5	5
OG0000206	2	2
OG0000207	4	4
OG0000208	5	5
OG0000209	2	2
OG0000210	3	3
OG0000211	3	3
OG0000212	2	2
OG0000213	2	2
OG0000214	2	2
OG0000215	3	2
OG0000216	4	4
OG0000217	5	5
OG0000218	2	2
OG0000219	4	2
OG0000220	4	4
OG0000221	7	7
OG0000222	2	2
OG0000223	3	3
OG0000224	4	4
OG0000225	5	5
OG0000226	4	4
OG0000227	2	2
OG0000228	6	6
OG0000229	8	8
OG0000230	8	8
OG0000231	8	8
OG0000232	8	8
OG0000233	8	8
OG0000234	8	8
OG0000235	8	8
OG0000236	6	6
OG0000237	6	6
OG0000238	7	7
OG0000239	8	8
OG0000240	8	8
OG0000241	2	2
OG0000242	3	3
OG0000243	7	7
OG0000244	7	7
OG0000245	3	3
OG0000246	0	0
OG0000247	0	0
OG0000248	3	2
OG0000249	4	4
OG0000250	3	3
OG0000251	0	0
OG0000252	0	0
OG0000253	1	1
OG0000254	2	2
OG0000255	3	3
OG0000256	1	1
OG0000257	3	3
OG0000258	1	1
OG0000259	3	3
OG0000260	2	2
OG0000261	7	7
OG0000262	4	4
OG0000263	3	3
OG0000264	3	3
OG0000265	1	1
OG0000266	2	2
OG0000267	4	4
OG0000268	5	5
OG0000269	4	4
OG0000270	3	3
OG0000271	5	5
OG0000272	2	2
OG0000273	3	3
OG0000274	6	6
OG0000275	3	3
OG0000276	5	5
OG0000277	2	2
OG0000278	1	1
OG0000279	1	1
OG0000280	2	2
OG0000281	3	3
OG0000282	3	3
OG0000283	2	2
OG0000284	1	1
OG0000285	3	3
OG0000286	4	4
OG0000287	1	1
OG0000288	2	2
OG0000289	4	4
OG0000290	4	4
OG0000291	4	4
OG0000292	4	4
OG0000293	1	1
OG0000294	1	1
OG0000295	3	3
OG0000296	6	6
OG0000297	4	4
OG0000298	3	3
OG0000299	4	4
OG0000300	1	1
OG0000301	3	3
OG0000302	4	4
OG0000303	4	4
OG0000304	3	3
OG0000305	6	6
OG0000306	2	2
OG0000307	3	3
OG0000308	1	1
OG0000309	4	4
OG0000310	1	1
OG0000311	1	1
OG0000312	6	6
OG0000313	1	1
OG0000314	3	3
OG0000315	5	5
OG0000316	6	6
OG0000317	3	3
OG0000318	3	3
OG0000319	2	2
OG0000320	4	4
OG0000321	6	6
OG0000322	4	4
OG0000323	5	5
OG0000324	5	5
OG0000325	7	7
OG0000326	7	7
OG0000327	7	7
OG0000328	7	7
OG0000329	7	7
OG0000330	5	5
OG0000331	5	5
OG0000332	5	5
OG0000333	6	6
OG0000334	7	7
OG0000335	7	7
OG0000336	1	1
OG0000337	1	1
OG0000338	1	1
OG0000339	2	2
OG0000340	2	2
OG0000341	2	2
OG0000342	1	1
OG0000343	4	4
OG0000344	2	1
OG0000345	2	2
OG0000346	1	1
OG0000347	2	2
OG0000348	2	2
OG0000349	0	0
OG0000350	3	3
OG0000351	4	4
OG0000352	0	0
OG0000353	1	1
OG0000354	2	2
OG0000355	3	3
OG0000356	2	2
OG0000357	2	2
OG0000358	3	3
OG0000359	3	3
OG0000360	3	3
OG0000361	4	4
OG0000362	2	2
OG0000363	0	0
OG0000364	2	2
OG0000365	3	3
OG0000366	2	2
OG0000367	2	2
OG0000368	5	5
OG0000369	3	3
OG0000370	2	2
OG0000371	2	2
OG0000372	2	2
OG0000373	3	3
OG0000374	3	3
OG0000375	3	3
OG0000376	1	1
OG0000377	2	2
OG0000378	3	3
OG0000379	2	2
OG0000380	0	0
OG0000381	0	0
OG0000382	2	2
OG0000383	1	1
OG0000384	3	3
OG0000385	2	2
OG0000386	2	2
OG0000387	2	2
OG0000388	1	1
OG0000389	0	0
OG0000390	3	3
OG0000391	3	3
OG0000392	3	3
OG0000393	1	1
OG0000394	3	3
OG0000395	2	2
OG0000396	3	3
OG0000397	0	0
OG0000398	2	2
OG0000399	3	3
OG0000400	3	3
OG0000401	1	1
OG0000402	0	0
OG0000403	2	2
OG0000404	0	0
OG0000405	3	3
OG0000406	3	3
OG0000407	2	2
OG0000408	2	2
OG0000409	0	0
OG0000410	1	1
OG0000411	2	2
OG0000412	1	1
OG0000413	3	3
OG0000414	2	2
OG0000415	4	4
OG0000416	4	4
OG0000417	3	3
OG0000418	5	5
OG0000419	2	2
OG0000420	3	3
OG0000421	3	3
OG0000422	2	2
OG0000423	5	5
OG0000424	0	0
OG0000425	0	0
OG0000426	4	4
