	AspNid.cds-transcripts	ggMorZona1.cds-transcripts	gzLinHyal1.cds-transcripts	gzMorAlpi1.cds-transcripts	gzPodHuml1.cds-transcripts	gzUmbIsab1.cds-transcripts	gzUmbRama1.cds-transcripts	gzUmbVina1.cds-transcripts
Number of genes	10534	14488	13857	12246	14319	10880	10654	11613
Number of genes in orthogroups	571	13457	12781	5816	6539	5031	4840	5997
Number of unassigned genes	9963	1031	1076	6430	7780	5849	5814	5616
Percentage of genes in orthogroups	5.4	92.9	92.2	47.5	45.7	46.2	45.4	51.6
Percentage of unassigned genes	94.6	7.1	7.8	52.5	54.3	53.8	54.6	48.4
Number of orthogroups containing species	315	10916	10991	4035	4257	3242	3383	3709
Percentage of orthogroups containing species	1.6	56.6	57.0	20.9	22.1	16.8	17.6	19.2
Number of species-specific orthogroups	112	78	138	881	1018	943	768	1023
Number of genes in species-specific orthogroups	357	222	409	2076	2561	2220	1762	2536
Percentage of genes in species-specific orthogroups	3.4	1.5	3.0	17.0	17.9	20.4	16.5	21.8


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	18960	8359	8284	15240	15018	16033	15892	15566
'1	194	8999	9682	2678	2668	1894	2236	2107
'2	96	1503	1042	1121	1247	1010	921	1146
'3	9	299	171	169	207	258	174	332
'4	7	76	51	29	83	62	40	77
'5	1	23	21	17	20	13	7	20
'6	3	6	7	10	12	5	3	16
'7	0	3	8	1	6	0	0	4
'8	2	2	3	3	1	0	0	2
'9	0	2	2	4	3	0	0	2
'10	0	1	0	1	4	0	0	1
11-15	0	1	3	1	3	0	1	2
16-20	0	0	1	0	0	0	1	0
21-50	3	1	0	1	3	0	0	0
51-100	0	0	0	0	0	0	0	0
101-150	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0

