Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	106	96
OG0000001	139	139
OG0000002	98	98
OG0000003	76	70
OG0000004	37	35
OG0000005	39	38
OG0000006	44	37
OG0000007	29	27
OG0000008	64	64
OG0000009	36	36
OG0000010	25	24
OG0000011	26	24
OG0000012	55	55
OG0000013	51	51
OG0000014	26	22
OG0000015	33	29
OG0000016	17	17
OG0000017	47	47
OG0000018	18	18
OG0000019	21	21
OG0000020	27	26
OG0000021	17	16
OG0000022	16	15
OG0000023	42	42
OG0000024	18	16
OG0000025	24	22
OG0000026	23	23
OG0000027	24	24
OG0000028	12	9
OG0000029	32	32
OG0000030	36	36
OG0000031	21	19
OG0000032	13	13
OG0000033	15	14
OG0000034	17	15
OG0000035	8	8
OG0000036	15	12
OG0000037	13	13
OG0000038	14	11
OG0000039	19	18
OG0000040	28	27
OG0000041	37	37
OG0000042	13	13
OG0000043	14	14
OG0000044	17	16
OG0000045	10	9
OG0000046	20	20
OG0000047	11	11
OG0000048	33	33
OG0000049	35	35
OG0000050	35	35
OG0000051	22	22
OG0000052	11	10
OG0000053	17	16
OG0000054	18	16
OG0000055	33	33
OG0000056	32	32
OG0000057	17	16
OG0000058	13	11
OG0000059	31	31
OG0000060	11	11
OG0000061	32	32
OG0000062	10	10
OG0000063	8	8
OG0000064	11	10
OG0000065	13	12
OG0000066	16	16
OG0000067	11	10
OG0000068	15	14
OG0000069	28	28
OG0000070	14	12
OG0000071	14	13
OG0000072	14	13
OG0000073	12	12
OG0000074	12	12
OG0000075	14	13
OG0000076	23	23
OG0000077	8	7
OG0000078	13	13
OG0000079	12	10
OG0000080	11	10
OG0000081	18	18
OG0000082	9	9
OG0000083	16	14
OG0000084	11	9
OG0000085	16	15
OG0000086	7	7
OG0000087	12	11
OG0000088	11	11
OG0000089	18	12
OG0000090	16	15
OG0000091	14	14
OG0000092	27	27
OG0000093	10	8
OG0000094	9	9
OG0000095	11	9
OG0000096	13	9
OG0000097	26	26
OG0000098	26	26
OG0000099	25	25
OG0000100	15	13
OG0000101	14	12
OG0000102	15	15
OG0000103	11	8
OG0000104	10	10
OG0000105	12	12
OG0000106	9	8
OG0000107	12	12
OG0000108	15	13
OG0000109	17	17
OG0000110	15	12
OG0000111	13	10
OG0000112	8	8
OG0000113	7	7
OG0000114	6	4
OG0000115	8	7
OG0000116	5	5
OG0000117	10	8
OG0000118	8	7
OG0000119	17	16
