Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	N5	n1	0.3333333333333333	Non-Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_012604-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_007821-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_006797-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_012257-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_000298-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_008760-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_011765-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003244-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_011782-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_006681-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_004920-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_005260-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_008765-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_011792-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003257-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003305-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013481-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013464-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_007879-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_13790-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_008751-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003374-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_011442-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_005379-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013301-T1, ggMorZona1_cds-transcripts_GGMOZO1EN_008942-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_007783-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_010884-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_13184-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_011201-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013194-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003377-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013365-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_012430-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_007782-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_010864-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013377-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_011924-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_011921-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_012263-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_012249-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013131-T1, ggMorZona1_cds-transcripts_GGMOZO1EN_12827-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003270-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_007903-T1, ggMorZona1_cds-transcripts_GGMOZO1EN_008943-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_012950-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_000026-T1
OG0000000	N5	n2	0.3333333333333333	Non-Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_007821-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_006797-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_012257-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_000298-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_008760-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_011765-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003244-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_011782-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_006681-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_004920-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_005260-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_008765-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_011792-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003257-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003305-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013481-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013464-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_007879-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_13790-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_008751-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003374-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_011442-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_005379-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013301-T1, ggMorZona1_cds-transcripts_GGMOZO1EN_008942-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_007783-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_010884-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_13184-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_011201-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013194-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003377-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013365-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_012430-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_007782-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_010864-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013377-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_011924-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_011921-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_012263-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_012249-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013131-T1, ggMorZona1_cds-transcripts_GGMOZO1EN_12827-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003270-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_007903-T1, ggMorZona1_cds-transcripts_GGMOZO1EN_008943-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_012950-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_000026-T1
OG0000000	gzPodHuml1.cds-transcripts	n3	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_007821-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_006797-T1
OG0000000	N5	n4	0.3333333333333333	Non-Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_012257-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_000298-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_008760-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_011765-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003244-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_011782-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_006681-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_004920-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_005260-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_008765-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_011792-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003257-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003305-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013481-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013464-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_007879-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_13790-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_008751-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003374-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_011442-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_005379-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013301-T1, ggMorZona1_cds-transcripts_GGMOZO1EN_008942-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_007783-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_010884-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_13184-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_011201-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013194-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003377-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013365-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_012430-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_007782-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_010864-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013377-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_011924-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_011921-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_012263-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_012249-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013131-T1, ggMorZona1_cds-transcripts_GGMOZO1EN_12827-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003270-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_007903-T1, ggMorZona1_cds-transcripts_GGMOZO1EN_008943-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_012950-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_000026-T1
OG0000000	gzPodHuml1.cds-transcripts	n5	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_012257-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_000298-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_008760-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_011765-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003244-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_011782-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_006681-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_004920-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_005260-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_008765-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_011792-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003257-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003305-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_013481-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013464-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_007879-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_13790-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_008751-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003374-T1
OG0000000	gzPodHuml1.cds-transcripts	n6	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_012257-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_000298-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_008760-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_011765-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003244-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_011782-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_006681-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_004920-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_005260-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_008765-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_011792-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003257-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003305-T1
OG0000000	gzPodHuml1.cds-transcripts	n7	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_000298-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_008760-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_011765-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003244-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_011782-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_006681-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_004920-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_005260-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_008765-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_011792-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_003257-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003305-T1
OG0000000	gzPodHuml1.cds-transcripts	n8	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_000298-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_008760-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_011765-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003244-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_011782-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_006681-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_004920-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_005260-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_008765-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_011792-T1
OG0000000	gzPodHuml1.cds-transcripts	n9	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_000298-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_008760-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_011765-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003244-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_011782-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_006681-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_004920-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_005260-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_008765-T1
OG0000000	gzPodHuml1.cds-transcripts	n10	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_000298-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_008760-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_011765-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003244-T1
